HIP;RA_J2000;DE_J2000
14360;3.088188;10.308453
25013;5.356004;14.943373
28414;6.001211;4.222720
18754;4.017088;16.521171
19829;4.251752;24.310128
20971;4.496701;17.677596
23301;5.011603;12.603899
27963;5.915684;5.353844
28627;6.043863;4.073413
23161;4.983170;14.543240
13867;2.976665;24.133787
15837;3.399891;10.461674
23356;5.022670;19.930507
14679;3.160557;16.904696
18850;4.041449;3.847229
25499;5.452804;17.962216
25228;5.395515;12.775775
14531;3.127416;22.572332
28202;5.959404;13.707943
20226;4.334458;23.598785
20511;4.395341;11.516928
26590;5.652092;14.556759
25185;5.387512;7.685036
28170;5.952294;19.216721
18228;3.896878;15.184481
25018;5.356593;15.814989
26616;5.657530;21.762929
27315;5.786569;12.339543
16143;3.467055;20.464261
21089;4.519594;18.819889
24273;5.209638;10.408286
24512;5.257682;22.284858
24958;5.345347;15.636919
