"","HIP","RA_J2000","DE_J2000","Plx","pmRA","pmDE","Vmag","BV","hyades","clusterNum"
"2554",19316,4.14074,12.1918,24.9,115.35,-13.05,11.28,1.327,0,2
"2555",21256,4.56033,21.1509,24.98,109.3,-45.31,10.69,1.237,0,2
"2557",16908,3.62638,21.3432,25.23,141.55,-27.39,9.35,0.917,0,2
"2559",18658,3.99458,10.3304,25.42,133.06,-3.5,6.35,0.417,1,2
"2564",19554,4.18897,5.52305,25.89,146.86,5,5.71,0.36,1,2
"2566",22221,4.77933,9.01742,26.26,89.03,-16.73,7.24,0.56,0,2
"2567",18322,3.91707,12.4856,26.49,127.58,-9.65,10.12,1.07,0,2
"2570",17928,3.8343,22.5916,26.91,155.06,-63.56,7.29,0.538,0,2
"2571",20441,4.37911,16.791,26.96,173.3,4.67,7.86,0.677,1,2
"2575",19591,4.19895,23.6363,27.21,137.76,-54.42,9.38,1.09,0,2
